year,quarter,level,entity,registered_users
2020,3,pincodes,110092,314384
2020,3,pincodes,122001,314031
2020,3,pincodes,110086,267186
2020,3,pincodes,560078,265627
2020,3,pincodes,121004,261230
2020,4,states,maharashtra,34432631
2020,4,states,uttar pradesh,27249134
2020,4,states,karnataka,22400182
2020,4,states,andhra pradesh,17076565
2020,4,states,rajasthan,16329494
2020,4,states,telangana,15927797
2020,4,states,west bengal,15662093
2020,4,states,tamil nadu,15357586
2020,4,states,madhya pradesh,13737947
2020,4,states,gujarat,13605203
2020,4,districts,bengaluru urban,9286243
2020,4,districts,pune,6033615
2020,4,districts,thane,3727358
2020,4,districts,jaipur,3679874
2020,4,districts,mumbai suburban,3609970
2020,4,districts,hyderabad,3142385
2020,4,districts,ahmadabad,2787991
2020,4,districts,rangareddy,2704868
2020,4,districts,north twenty four parganas,2321888
2020,4,districts,medchal malkajgiri,2282695
2020,4,pincodes,201301,504506
2020,4,pincodes,110059,423149
2020,4,pincodes,560068,399638
2020,4,pincodes,421302,365506
2020,4,pincodes,500072,350832
2020,4,pincodes,122001,336803
2020,4,pincodes,110092,335783
2020,4,pincodes,110086,288308
2020,4,pincodes,560078,285544
2020,4,pincodes,121004,283882
2021,1,states,maharashtra,37077537
2021,1,states,uttar pradesh,29482075
2021,1,states,karnataka,24095832
2021,1,states,andhra pradesh,18363733
2021,1,states,rajasthan,17661088
2021,1,states,telangana,17149069
2021,1,states,west bengal,16808799
2021,1,states,tamil nadu,16632608
2021,1,states,madhya pradesh,14839427
2021,1,states,gujarat,14670126
2021,1,districts,bengaluru urban,9955387
2021,1,districts,pune,6481971
2021,1,districts,thane,4014464
2021,1,districts,jaipur,3951866
2021,1,districts,mumbai suburban,3886500
2021,1,districts,hyderabad,3379663
2021,1,districts,ahmadabad,2999575
2021,1,districts,rangareddy,2906635
2021,1,districts,north twenty four parganas,2491076
2021,1,districts,surat,2458596
2021,1,pincodes,201301,541127
2021,1,pincodes,110059,454201
2021,1,pincodes,560068,427525
2021,1,pincodes,421302,396179
2021,1,pincodes,500072,375272
2021,1,pincodes,122001,361360
2021,1,pincodes,110092,359376
2021,1,pincodes,110086,310419
2021,1,pincodes,121004,306230
2021,1,pincodes,560078,305721
2021,2,states,maharashtra,39664697
2021,2,states,uttar pradesh,31651894
2021,2,states,karnataka,25751023
2021,2,states,andhra pradesh,19620905
2021,2,states,rajasthan,18980985
2021,2,states,telangana,18306880
2021,2,states,west bengal,17979979
2021,2,states,tamil nadu,17804542
2021,2,states,madhya pradesh,15940935
2021,2,states,gujarat,15735981
2021,2,districts,bengaluru urban,10604609
2021,2,districts,pune,6915820
2021,2,districts,thane,4290066
2021,2,districts,jaipur,4226231
2021,2,districts,mumbai suburban,4151227
2021,2,districts,hyderabad,3598337
2021,2,districts,ahmadabad,3209841
2021,2,districts,rangareddy,3097973
2021,2,districts,north twenty four parganas,2660664
2021,2,districts,surat,2633443
2021,2,pincodes,201301,577428
2021,2,pincodes,110059,485328
2021,2,pincodes,560068,455417
2021,2,pincodes,421302,424376
2021,2,pincodes,500072,398987
2021,2,pincodes,122001,385555
2021,2,pincodes,110092,383095
2021,2,pincodes,110086,332618
2021,2,pincodes,121004,328000
2021,2,pincodes,560078,325334
2021,3,states,maharashtra,42581217
2021,3,states,uttar pradesh,34151882
2021,3,states,karnataka,27614221
2021,3,states,andhra pradesh,21059898
2021,3,states,rajasthan,20499465
2021,3,states,telangana,19615278
2021,3,states,west bengal,19323278
2021,3,states,tamil nadu,19127440
2021,3,states,madhya pradesh,17210233
2021,3,states,gujarat,16946761
2021,3,districts,bengaluru urban,11321012
2021,3,districts,pune,7398336
2021,3,districts,thane,4597394
2021,3,districts,jaipur,4534297
2021,3,districts,mumbai suburban,4444495
2021,3,districts,hyderabad,3839513
2021,3,districts,ahmadabad,3445024
2021,3,districts,rangareddy,3310906
2021,3,districts,north twenty four parganas,2852030
2021,3,districts,surat,2830392
2021,3,pincodes,201301,618043
2021,3,pincodes,110059,520096
2021,3,pincodes,560068,486170
2021,3,pincodes,421302,456284
2021,3,pincodes,500072,425197
2021,3,pincodes,122001,412737
2021,3,pincodes,110092,409520
2021,3,pincodes,110086,357590
2021,3,pincodes,121004,352312
2021,3,pincodes,560078,346840
2021,4,states,maharashtra,45482506
2021,4,states,uttar pradesh,36617655
2021,4,states,karnataka,29459646
2021,4,states,andhra pradesh,22489029
2021,4,states,rajasthan,21977202
2021,4,states,telangana,20917649
2021,4,states,west bengal,20644527
2021,4,states,tamil nadu,20433142
2021,4,states,madhya pradesh,18456243
2021,4,states,gujarat,18139201
2021,4,districts,bengaluru urban,12038775
2021,4,districts,pune,7880431
2021,4,districts,thane,4906492
2021,4,districts,jaipur,4841883
2021,4,districts,mumbai suburban,4740546
2021,4,districts,hyderabad,4081185
2021,4,districts,ahmadabad,3679243
2021,4,districts,rangareddy,3523496
2021,4,districts,north twenty four parganas,3043008
2021,4,districts,surat,3026960
2021,4,pincodes,201301,659549
2021,4,pincodes,110059,555449
2021,4,pincodes,560068,517115
2021,4,pincodes,421302,488443
2021,4,pincodes,500072,451595
2021,4,pincodes,122001,440178
2021,4,pincodes,110092,436075
2021,4,pincodes,110086,382858
2021,4,pincodes,121004,376910
2021,4,pincodes,560078,368213
2022,1,states,maharashtra,48227630
2022,1,states,uttar pradesh,38999692
2022,1,states,karnataka,31200349
2022,1,states,andhra pradesh,23857951
2022,1,states,rajasthan,23398857
2022,1,states,telangana,22150612
2022,1,states,west bengal,21919787
2022,1,states,tamil nadu,21667020
2022,1,states,madhya pradesh,19656147
2022,1,states,gujarat,19265314
2022,1,districts,bengaluru urban,12707664
2022,1,districts,pune,8331582
2022,1,districts,thane,5196050
2022,1,districts,jaipur,5133527
2022,1,districts,mumbai suburban,5017556
2022,1,districts,hyderabad,4306136
2022,1,districts,ahmadabad,3897869
2022,1,districts,rangareddy,3722676
2022,1,districts,north twenty four parganas,3224459
2022,1,districts,surat,3210535
2022,1,pincodes,201301,698600
2022,1,pincodes,110059,588266
2022,1,pincodes,560068,545827
2022,1,pincodes,421302,518716
2022,1,pincodes,500072,476073
2022,1,pincodes,122001,465984
2022,1,pincodes,110092,460951
2022,1,pincodes,110086,406863
2022,1,pincodes,121004,400283
2022,1,pincodes,560078,388154
2022,2,states,maharashtra,50802786
2022,2,states,uttar pradesh,41247289
2022,2,states,karnataka,32831447
2022,2,states,andhra pradesh,25157264
2022,2,states,rajasthan,24716181
2022,2,states,telangana,23314363
2022,2,states,west bengal,23124388
2022,2,states,tamil nadu,22829720
2022,2,states,madhya pradesh,20766417
2022,2,states,gujarat,20321596
2022,2,districts,bengaluru urban,13342916
2022,2,districts,pune,8757249
2022,2,districts,thane,5471749
2022,2,districts,jaipur,5409763
2022,2,districts,mumbai suburban,5281053
2022,2,districts,hyderabad,4519625
2022,2,districts,ahmadabad,4105172
2022,2,districts,rangareddy,3911372
2022,2,districts,north twenty four parganas,3397791
2022,2,districts,surat,3385398
2022,2,pincodes,201301,735907
2022,2,pincodes,110059,619737
2022,2,pincodes,560068,573310
2022,2,pincodes,421302,547501
2022,2,pincodes,500072,499269
2022,2,pincodes,122001,490709
2022,2,pincodes,110092,484816
2022,2,pincodes,110086,429566
2022,2,pincodes,121004,422488
2022,2,pincodes,560078,407066
2022,3,states,maharashtra,53432602
2022,3,states,uttar pradesh,43537920
2022,3,states,karnataka,34493994
2022,3,states,andhra pradesh,26496330
2022,3,states,rajasthan,26042948
2022,3,states,telangana,24506111
2022,3,states,west bengal,24372048
2022,3,states,tamil nadu,24019964
2022,3,states,madhya pradesh,21884220
2022,3,states,gujarat,21394721
2022,3,districts,bengaluru urban,13997602
2022,3,districts,pune,9194074
2022,3,districts,thane,5757165
2022,3,districts,jaipur,5696726
2022,3,districts,mumbai suburban,5555095
2022,3,districts,hyderabad,4739891
2022,3,districts,ahmadabad,4319512
2022,3,districts,rangareddy,4105107
2022,3,districts,north twenty four parganas,3578500
2022,3,districts,surat,3567767
2022,3,pincodes,201301,774591
2022,3,pincodes,110059,652328
2022,3,pincodes,560068,601656
2022,3,pincodes,421302,577754
2022,3,pincodes,500072,523196
2022,3,pincodes,122001,516313
2022,3,pincodes,110092,509260
2022,3,pincodes,110086,453393
2022,3,pincodes,121004,445822
2022,3,pincodes,201009,428994
2022,4,states,maharashtra,55954028
2022,4,states,uttar pradesh,45648650
2022,4,states,karnataka,36081698
2022,4,states,andhra pradesh,27778016
2022,4,states,rajasthan,27255927
2022,4,states,telangana,25656381
2022,4,states,west bengal,25536381
2022,4,states,tamil nadu,25136112
2022,4,states,madhya pradesh,22913924
2022,4,states,gujarat,22412353
2022,4,districts,bengaluru urban,14654455
2022,4,districts,pune,9622338
2022,4,districts,thane,6042267
2022,4,districts,jaipur,5975863
2022,4,districts,mumbai suburban,5831539
2022,4,districts,hyderabad,4962214
2022,4,districts,ahmadabad,4530853
2022,4,districts,rangareddy,4296707
2022,4,districts,north twenty four parganas,3755017
2022,4,districts,surat,3747780
2022,4,pincodes,201301,814008
2022,4,pincodes,110059,685596
2022,4,pincodes,560068,630255
2022,4,pincodes,421302,608005
2022,4,pincodes,500072,547282
2022,4,pincodes,122001,542209
2022,4,pincodes,110092,534009
2022,4,pincodes,110086,477514
2022,4,pincodes,121004,468607
2022,4,pincodes,201009,451153
2023,1,states,maharashtra,58470784
2023,1,states,uttar pradesh,47806049
2023,1,states,karnataka,37681426
2023,1,states,andhra pradesh,29065863
2023,1,states,rajasthan,28523031
2023,1,states,telangana,26804259
2023,1,states,west bengal,26732895
2023,1,states,tamil nadu,26270663
2023,1,states,madhya pradesh,24002818
2023,1,states,gujarat,23436230
2023,1,districts,bengaluru urban,15290372
2023,1,districts,pune,10037022
2023,1,districts,thane,6314618
2023,1,districts,jaipur,6247095
2023,1,districts,mumbai suburban,6095695
2023,1,districts,hyderabad,5176899
2023,1,districts,ahmadabad,4734630
2023,1,districts,rangareddy,4483193
2023,1,districts,north twenty four parganas,3926974
2023,1,districts,surat,3919829
2023,1,pincodes,201301,851451
2023,1,pincodes,110059,716856
2023,1,pincodes,560068,658173
2023,1,pincodes,421302,636458
2023,1,pincodes,500072,570652
2023,1,pincodes,122001,566889
2023,1,pincodes,110092,557488
2023,1,pincodes,110086,500213
2023,1,pincodes,121004,490243
2023,1,pincodes,201009,472156
2023,2,states,maharashtra,60766850
2023,2,states,uttar pradesh,49829833
2023,2,states,karnataka,39122314
2023,2,states,andhra pradesh,30240061
2023,2,states,rajasthan,29745609
2023,2,states,west bengal,27827662
2023,2,states,telangana,27814633
2023,2,states,tamil nadu,27317599
2023,2,states,madhya pradesh,25042930
2023,2,states,gujarat,24396768
2023,2,districts,bengaluru urban,15812243
2023,2,districts,pune,10396344
2023,2,districts,thane,6552282
2023,2,districts,jaipur,6490210
2023,2,districts,mumbai suburban,6322778
2023,2,districts,hyderabad,5349842
2023,2,districts,ahmadabad,4913610
2023,2,districts,rangareddy,4638501
2023,2,districts,north twenty four parganas,4079270
2023,2,districts,surat,4076929
2023,2,pincodes,201301,883262
2023,2,pincodes,110059,744061
2023,2,pincodes,560068,680831
2023,2,pincodes,421302,662196
2023,2,pincodes,500072,589156
2023,2,pincodes,122001,587988
2023,2,pincodes,110092,577301
2023,2,pincodes,110086,520976
2023,2,pincodes,121004,509776
2023,2,pincodes,201009,490549
2023,3,states,maharashtra,63150997
2023,3,states,uttar pradesh,51870932
2023,3,states,karnataka,40634390
2023,3,states,andhra pradesh,31493897
2023,3,states,rajasthan,30997182
2023,3,states,west bengal,28966414
2023,3,states,telangana,28896668
2023,3,states,tamil nadu,28405436
